rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,view_history,stimulus,button_pressed,id,type,shape,phrase,condition
3991,NA,,html-button-delay-response,14,104039,0.0-14.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.12,testing,The green circle,does not move from red upward.,AnotB
3191,NA,,html-button-delay-response,15,107732,0.0-15.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot3a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.14,testing,The green circle,moves from red upward.,notAnotB
3921,NA,,html-button-delay-response,16,112156,0.0-16.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.15,testing,The green circle,does not move from red upward.,notAnotB
4737,NA,,html-button-delay-response,17,117395,0.0-17.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug2'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.2,testing,The green circle,does not move from red upward.,AB
8917,NA,,html-button-delay-response,18,126815,0.0-18.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot7'></div><div class='dot8'></div><div class='dot5'></div><div class='dot6'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.24,testing,None of the green circles,moves from red upward.,none_true_universal
3393,NA,,html-button-delay-response,19,130711,0.0-19.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3b'></div><div class='wug4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.17,testing,Every green circle,moves from red upward.,all_true_existential
7102,NA,,html-button-delay-response,20,138315,0.0-20.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3a'></div><div class='wug4a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.18,testing,Every green circle,moves from red upward.,all_true_universal
4358,NA,,html-button-delay-response,21,143175,0.0-21.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1'></div><div class='dot2'></div><div class='dot3'></div><div class='wug4'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.20,testing,None of the green circles,moves from red upward.,none_false
5965,NA,,html-button-delay-response,22,149643,0.0-22.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1a'></div><div class='dot2a'></div><div class='dot3a'></div><div class='dot4a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.22,testing,None of the green circles,moves from red upward.,none_true_existential
5976,NA,,html-button-delay-response,23,156122,0.0-23.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='dot3b'></div><div class='wug4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.21,testing,Every green circle,moves from red upward.,all_false
6104,NA,,html-button-delay-response,24,162729,0.0-24.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1a'></div><div class='dot2a'></div><div class='dot3b'></div><div class='dot4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.23,testing,None of the green circles,moves from red upward.,none_true_no_projection
4800,NA,,html-button-delay-response,25,168032,0.0-25.0,x2r4o17rah,control,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='wug2a'></div><div class='wug3a'></div><div class='wug4a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.19,testing,Every green circle,moves from red upward.,all_true_no_projection
57127,"['wugging had to do with the direction of the movement', 'wugging had to do with the red line']",self_report,survey-multi-select,26,225663,0.0-26.0,x2r4o17rah,control,,,,,,,,
26434,1ug,demo.1,survey-dropdown,27,252101,0.0-27.0,x2r4o17rah,control,,,,,,,,
26434,none,demo.2,survey-dropdown,27,252101,0.0-27.0,x2r4o17rah,control,,,,,,,,
26434,male,demo.3,survey-dropdown,27,252101,0.0-27.0,x2r4o17rah,control,,,,,,,,
26434,12-24,demo.4,survey-dropdown,27,252101,0.0-27.0,x2r4o17rah,control,,,,,,,,
10376,5d879fe7e9accc0018401d40,ProlificID,survey-text,0,10381,0.0-0.0,qo7dl6g50q,wug=red,,,,,,,,
8000,NA,instructions,instructions,1,18387,0.0-1.0,qo7dl6g50q,wug=red,"[{""page_index"":0,""viewing_time"":7997}]",,,,,,,
7554,NA,,html-button-delay-response,2,25951,0.0-2.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug3'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.3,teaching,The green circle,,
9822,NA,,html-button-delay-response,3,36280,0.0-3.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.1,teaching,The green circle,,
5910,NA,,html-button-delay-response,4,42697,0.0-4.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug4'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.4,teaching,The green circle,,
17222,NA,,html-button-delay-response,5,60426,0.0-5.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.7,teaching,The green circle,,
7135,NA,,html-button-delay-response,6,68068,0.0-6.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot2'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.5,teaching,The green circle,,
8082,NA,,html-button-delay-response,7,76655,0.0-7.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot3'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.6,teaching,The green circle,,
5732,NA,,html-button-delay-response,8,82893,0.0-8.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot4'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.8,teaching,The green circle,,
6774,NA,,html-button-delay-response,9,90170,0.0-9.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug2'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.2,teaching,The green circle,,
4140,NA,break,html-button-response,10,94819,0.0-10.0,qo7dl6g50q,wug=red,,"<p style='text-align:center'>Now, let's see how <b>you</b> use <i>wug</i>! You will see animations and will be asked to make a decision.</p>",0,,,,,
8787,NA,,html-button-delay-response,11,103613,0.0-11.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot3'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.3,testing,The green circle,does not wug.,notAB
3835,NA,,html-button-delay-response,12,107954,0.0-12.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug2'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.2,testing,The green circle,wugs.,AB
3942,NA,,html-button-delay-response,13,112403,0.0-13.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot4'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,0,testing.4,testing,The green circle,wugs.,notAB
3806,NA,,html-button-delay-response,14,116716,0.0-14.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,0,testing.1,testing,The green circle,does not wug.,AB
6783,NA,,html-button-delay-response,15,124006,0.0-15.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.5,testing,The green circle,wugs.,AnotB
4716,NA,,html-button-delay-response,16,129228,0.0-16.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot4a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.12,testing,The green circle,does not wug.,notAnotB
5851,NA,,html-button-delay-response,17,135585,0.0-17.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.8,testing,The green circle,does not wug.,AnotB
6736,NA,,html-button-delay-response,18,142826,0.0-18.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug2b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.6,testing,The green circle,does not wug.,AnotB
8561,NA,,html-button-delay-response,19,151893,0.0-19.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.11,testing,The green circle,wugs.,notAnotB
5112,NA,,html-button-delay-response,20,157513,0.0-20.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot2a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,0,testing.9,testing,The green circle,wugs.,notAnotB
5269,NA,,html-button-delay-response,21,163287,0.0-21.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug3b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,0,testing.7,testing,The green circle,wugs.,AnotB
3395,NA,,html-button-delay-response,22,167188,0.0-22.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot3a'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.10,testing,The green circle,does not wug.,notAnotB
7970,NA,,html-button-delay-response,23,175665,0.0-23.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3b'></div><div class='wug4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,0,testing.13,testing,Every green circle,wugs.,all_true_existential
10479,NA,,html-button-delay-response,24,186651,0.0-24.0,qo7dl6g50q,wug=red,,<div class='container'><div class='ball'><div class='redline'></div> <div class='dot1a'></div><div class='dot2a'></div><div class='dot3b'></div><div class='dot4b'></div> </div></div></div><button onclick = 'DoAnimation();'>Please click here animation!</button>,1,testing.19,testing,None of the green circles,wugs.,none_true_no_projection
