rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,group,view_history,stimulus,button_pressed,id,type,shape,phrase,condition
3772,NA,,html-button-delay-response,16,125327,0.0-16.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot1a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.11,testing,The green circle,wugs.,notAnotB
5136,NA,,html-button-delay-response,17,130964,0.0-17.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot3'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.6,testing,The green circle,does not wug.,AnotB
3551,NA,,html-button-delay-response,18,135018,0.0-18.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot2a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.9,testing,The green circle,wugs.,notAnotB
4937,NA,,html-button-delay-response,19,140458,0.0-19.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot1a'></div><div class='dot2a'></div><div class='dot3b'></div><div class='dot4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.19,testing,None of the green circles,wugs.,none_true_no_projection
2714,NA,,html-button-delay-response,20,143673,0.0-20.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='dot3b'></div><div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.17,testing,Every green circle,wugs.,all_true_existential
3782,NA,,html-button-delay-response,21,147958,0.0-21.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3a'></div><div class='wug4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.14,testing,Every green circle,wugs.,all_false
3825,NA,,html-button-delay-response,22,152285,0.0-22.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='dot2a'></div><div class='wug3a'></div><div class='wug4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.18,testing,None of the green circles,wugs.,none_true_existential
3216,NA,,html-button-delay-response,23,156004,0.0-23.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='dot7'></div><div class='dot8'></div><div class='dot5'></div><div class='dot6'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.20,testing,Every green circles,wugs.,all_true_no_projection
3041,NA,,html-button-delay-response,24,159548,0.0-24.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='wug2b'></div><div class='wug3a'></div><div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,1,testing.16,testing,None of the green circles,wugs.,none_false
5404,NA,,html-button-delay-response,25,165456,0.0-25.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1a'></div><div class='wug2a'></div><div class='wug3a'></div><div class='wug4a'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.15,testing,None of the green circles,wugs.,none_true_universal
2546,NA,,html-button-delay-response,26,168506,0.0-26.0,cavvpzo7gs,no training,,<div class='container2'><div class='ball'><div class='redline'></div> <div class='wug1b'></div><div class='wug2b'></div><div class='wug3b'></div><div class='wug4b'></div> </div><div class = 'ball2'></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,testing.13,testing,Every green circle,wugs.,all_true_universal
18621,1g,demo.1,survey-dropdown,27,187632,0.0-27.0,cavvpzo7gs,no training,,,,,,,,
18621,none,demo.2,survey-dropdown,27,187632,0.0-27.0,cavvpzo7gs,no training,,,,,,,,
18621,male,demo.3,survey-dropdown,27,187632,0.0-27.0,cavvpzo7gs,no training,,,,,,,,
18621,12-24,demo.4,survey-dropdown,27,187632,0.0-27.0,cavvpzo7gs,no training,,,,,,,,
3149,5f4653e86e2aaf0112e521bb,ProlificID,survey-text,0,3149,0.0-0.0,5xhztw6cyn,no training,,,,,,,,
1575,NA,instructions,instructions,1,4724,0.0-1.0,5xhztw6cyn,no training,"[{""page_index"":0,""viewing_time"":1575}]",,,,,,,
7246,NA,,html-button-delay-response,2,11972,0.0-2.0,5xhztw6cyn,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug2'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.2,teaching,The green circle,,
5114,NA,,html-button-delay-response,3,17599,0.0-3.0,5xhztw6cyn,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug3'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.3,teaching,The green circle,,
3230,NA,,html-button-delay-response,4,21337,0.0-4.0,5xhztw6cyn,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug4'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.4,teaching,The green circle,,
2784,NA,,html-button-delay-response,5,24623,0.0-5.0,5xhztw6cyn,no training,,<div class='container'><div class='ball_test'><div class='redline'></div> <div class='wug1'></div></div></div></div><button onclick = 'DoAnimation();'>Please click here for animation!</button>,0,teaching.1,teaching,The green circle,,
